Station name,Line,Opened,Station layout,Platform layout,Notes,Refs
Mandawali - West Vinod Nagar,Pink Line,31 October 2018,Elevated,Side,Formerly known as Vinod Nagar West,
Mandi House,Blue Line,11 November 2006,Underground,Side,-,
Mandi House,Violet Line,26 June 2014,Underground,Island,-,
Mansarovar Park,Red Line,4 June 2008,Elevated,Side,-,
Maujpur - Babarpur†,Pink Line,31 October 2018,Elevated,Side,"Formerly known as Maujpur
Also a terminus for Pink Line's Shiv Vihar branch.",
Mayapuri,Pink Line,14 March 2018,Elevated,Side,-,
Mayur Vihar-I,Blue Line,12 November 2009,Elevated,Island,-,
Mayur Vihar-I,Pink Line,31 December 2018,Elevated,Side,-,
Mayur Vihar Extension,Blue Line,12 November 2009,Elevated,Island,-,
Mewla Maharajpur,Violet Line,6 September 2015,Elevated,Side,-,
MG Road,Yellow Line,21 June 2010,Elevated,Side,-,
Millennium City Centre Gurugram†,Yellow Line,21 June 2010,Elevated,Side,Formerly known as HUDA City Centre,
Model Town,Yellow Line,4 February 2009,Elevated,Side,-,
Mohan Estate,Violet Line,14 January 2011,Elevated,Side,-,
Mohan Nagar,Red Line,8 March 2019,Elevated,Side,-,
Moolchand,Violet Line,3 October 2010,Elevated,Side,-,
Moti Nagar,Blue Line,30 December 2005,Elevated,Side,-,
Mundka,Green Line,2 April 2010,Elevated,Side,-,
Mundka Industrial Area,Green Line,24 June 2018,Elevated,Side,-,
Munirka,Magenta Line,29 May 2018,Underground,Island,-,
Najafgarh,Grey Line,4 October 2019,Underground,Side,-,
Nanaksar - Sonia Vihar,Pink Line,8 March 2026,Elevated,Side,-,
Nangli,Grey Line,4 October 2019,Elevated,Side,-,
Nangloi,Green Line,2 April 2010,Elevated,Side,-,
Nangloi Railway Station††,Green Line,2 April 2010,Elevated,Side,Transfer station for Nangloi railway station (Indian Railways),
Naraina Vihar,Pink Line,14 March 2018,Underground,Island,-,
Nawada,Blue Line,30 December 2005,Elevated,Side,-,
Neelam Chowk Ajronda,Violet Line,6 September 2015,Elevated,Side,Formerly known as Ajronda,
Nehru Enclave,Magenta Line,29 May 2018,Underground,Island,-,
Nehru Place,Violet Line,3 October 2010,Elevated,Side,-,
Netaji Subhash Place,Red Line,31 March 2004,Elevated,Side,Formerly known as Wazirpur,
Netaji Subhash Place,Pink Line,14 March 2018,Underground,Side,Formerly known as Wazirpur,
New Ashok Nagar,Blue Line,12 November 2009,Elevated,Side,Transfer station for Delhi - Meerut RRTS.,
New Delhi†¤,Yellow Line,3 July 2005,Underground,Island,Transfer station for New Delhi Railway Station (Indian Railways) and Airport Express,
New Delhi†¤,Airport Express,23 February 2011,Underground,Island,Transfer station for New Delhi Railway Station (Indian Railways) and Airport Express,
NHPC Chowk,Violet Line,6 September 2015,Elevated,Side,-,
Nirman Vihar,Blue Line,6 January 2010,Elevated,Side,-,
Noida City Centre,Blue Line,12 November 2009,Elevated,Side,-,
Noida Electronic City†,Blue Line,9 March 2019,Elevated,Side,-,
Noida Sector 15,Blue Line,12 November 2009,Elevated,Side,-,
Noida Sector 16,Blue Line,12 November 2009,Elevated,Side,-,
Noida Sector 18,Blue Line,12 November 2009,Elevated,Side,-,
Noida Sector 34,Blue Line,9 March 2019,Elevated,Side,-,
Noida Sector 52,Blue Line,9 March 2019,Elevated,Side,Transfer station for Aqua Line (Noida Metro),
Noida Sector 59,Blue Line,9 March 2019,Elevated,Side,-,
Noida Sector 61,Blue Line,9 March 2019,Elevated,Side,-,
Noida Sector 62,Blue Line,9 March 2019,Elevated,Side,-,
Okhla Bird Sanctuary,Magenta Line,25 December 2017,Elevated,Side,-,
Okhla NSIC,Magenta Line,25 December 2017,Elevated,Side,-,
Okhla Vihar,Magenta Line,25 December 2017,Elevated,Side,-,
Old Faridabad,Violet Line,6 September 2015,Elevated,Side,-,
Palam,Magenta Line,29 May 2018,Underground,Island,-,
Panchsheel Park,Magenta Line,29 May 2018,Underground,Island,-,
Pandit Shree Ram Sharma,Green Line,24 June 2018,Elevated,Side,Formerly known as Modern Industrial Estate,
Paschim Vihar East,Green Line,2 April 2010,Elevated,Side,-,
Paschim Vihar West,Green Line,2 April 2010,Elevated,Side,-,
Patel Chowk,Yellow Line,3 July 2005,Underground,Island,-,
Patel Nagar,Blue Line,30 December 2005,Elevated,Side,-,
Peeragarhi,Green Line,2 April 2010,Elevated,Side,-,
Pratap Nagar††,Red Line,3 October 2003,Elevated,Side,Transfer station for Subzi Mandi railway station (Indian Railways),
Preet Vihar,Blue Line,6 January 2010,Elevated,Side,-,
Pulbangash,Red Line,3 October 2003,Elevated,Side,-,
Punjabi Bagh,Green Line,2 April 2010,Elevated,Side,Formerly known as Punjabi Bagh East,
Punjabi Bagh West,Pink Line,14 March 2018,Elevated,Side,-,
Punjabi Bagh West,Green Line,29 March 2022,Elevated,Side,-,
Qutab Minar,Yellow Line,21 June 2010,Elevated,Side,-,
R. K. Puram,Magenta Line,29 May 2018,Underground,Island,-,
Raja Nahar Singh (Ballabhgarh)†,Violet Line,19 November 2018,Elevated,Side,Formerly known as Ballabhgarh,
Raj Bagh,Red Line,8 March 2019,Elevated,Side,-,
Rajdhani Park,Green Line,2 April 2010,Elevated,Side,-,
Rajendra Place,Blue Line,30 December 2005,Elevated,Side,-,
Rajiv Chowk,Yellow Line,3 July 2005,Underground,Island,-,
Rajiv Chowk,Blue Line,30 December 2005,Underground,Side,-,
Rajouri Garden,Blue Line,30 December 2005,Elevated,Side,-,
Rajouri Garden,Pink Line,14 March 2018,Elevated,Side,-,
Ramakrishna Ashram Marg,Blue Line,30 December 2005,Elevated,Side,-,
Ramesh Nagar,Blue Line,30 December 2005,Elevated,Side,-,
Rithala†,Red Line,31 March 2004,Elevated,Side,-,
Rohini East,Red Line,31 March 2004,Elevated,Side,-,
"Rohini Sector 18, 19",Yellow Line,10 November 2015,Elevated,Side,-,
Rohini West,Red Line,31 March 2004,Elevated,Side,-,
Sadar Bazar Cantonment,Magenta Line,29 May 2018,Elevated,Side,-,
Saket,Yellow Line,3 September 2010,Underground,Island,-,
Samaypur Badli†,Yellow Line,10 November 2015,Elevated,Side,-,
Sant Surdas (Sihi),Violet Line,19 November 2018,Elevated,Side,Formerly known as NCB (Goodyear Chowk),
Sarai,Violet Line,6 September 2015,Elevated,Side,-,
Sarai Kale Khan - Nizamuddin††,Pink Line,31 December 2018,Underground,Island,Transfer station for Hazrat Nizamuddin railway station and Sarai Kale Khan ISBT,
Sarita Vihar,Violet Line,3 October 2010,Elevated,Side,-,
Sarojini Nagar,Pink Line,6 August 2018,Underground,Island,-,
Satguru Ram Singh Marg††,Green Line,27 August 2011,Elevated,Side,Transfer station for Patel Nagar railway station (Indian Railways),
Sector 28,Violet Line,6 September 2015,Elevated,Side,-,
Seelampur,Red Line,24 December 2002,At-grade,Island,-,
Seva Teerth,Yellow Line,3 September 2010,Underground,Island,Formerly known as Udyog Bhawan,
Shadipur,Blue Line,30 December 2005,Elevated,Side,-,
Shahdara††,Red Line,24 December 2002,At-grade,Side,Transfer station for Delhi Shahdara Junction railway station,
Shaheed Nagar,Red Line,8 March 2019,Elevated,Side,-,
Shaheed Sthal (New Bus Adda),Red Line,8 March 2019,Elevated,Side,Formerly known as New Bus Adda,
Shakurpur,Pink Line,14 March 2018,Elevated,Island,-,
Shalimar Bagh,Pink Line,14 March 2018,Underground,Island,-,
Shankar Vihar,Magenta Line,29 May 2018,Elevated,Side,Only authorized defense personnel and their families are permitted to enter or exit at this station.,
Shastri Nagar††,Red Line,3 October 2003,Elevated,Side,Formerly known as Vivekanand Puri. Transfer station for Delhi Sarai Rohilla railway station (Indian Railways),
Shastri Park,Red Line,24 December 2002,At-grade,Side,-,
Shiv Vihar†,Pink Line,31 October 2018,Elevated,Side,-,
Shivaji Park,Green Line,2 April 2010,Elevated,Side,-,
Shivaji Stadium,Airport Express,23 February 2011,Underground,Island,-,
Shree Ram Mandir Mayur Vihar,Pink Line,31 December 2018,Elevated,Side,Formerly known as Mayur Vihar Pocket I,
Shyam Park,Red Line,8 March 2019,Elevated,Side,-,
Sikanderpur,Yellow Line,21 June 2010,Elevated,Side,Transfer to Rapid Metro Gurgaon,
Sir M. Vishweshwaraiah Moti Bagh,Pink Line,6 August 2018,Elevated,Side,-,
South Extension,Pink Line,6 August 2018,Underground,Island,-,
Subhash Nagar,Blue Line,30 December 2005,Elevated,Side,-,
Sukhdev Vihar,Magenta Line,25 December 2017,Elevated,Side,-,
Sultanpur,Yellow Line,21 June 2010,Elevated,Side,-,
Supreme Court,Blue Line,11 November 2006,Elevated,Side,"Formerly known as Pragati Maidan
The Delhi Metro Museum is stored inside of the station",
Tagore Garden,Blue Line,30 December 2005,Elevated,Side,-,
Terminal 1-IGI Airport,Magenta Line,29 May 2018,Underground,Island,Connects to Indira Gandhi International Airport's Terminal 1,
Tikri Border,Green Line,24 June 2018,Elevated,Side,-,
Tikri Kalan,Green Line,24 June 2018,Elevated,Side,-,
Tilak Nagar,Blue Line,30 December 2005,Elevated,Side,-,
Tis Hazari,Red Line,24 December 2002,Elevated,Side,-,
Trilokpuri Sanjay Lake,Pink Line,31 October 2018,Elevated,Side,Formerly known as Trilokpuri,
Tughlakabad Station,Violet Line,14 January 2011,Elevated,Side,Formerly known as Tughlakabad,
Udyog Nagar,Green Line,2 April 2010,Elevated,Side,-,
Uttam Nagar East,Blue Line,30 December 2005,Elevated,Side,-,
Uttam Nagar West,Blue Line,30 December 2005,Elevated,Side,-,
Uttari Pitampura-Prashant Vihar,Magenta Line,8 March 2026,Elevated,Side,-,
Vaishali†,Blue Line,14 July 2011,Elevated,Side,-,
Vasant Vihar,Magenta Line,29 May 2018,Underground,Island,-,
Vidhan Sabha,Yellow Line,20 December 2004,Underground,Side,-,
Vinobapuri,Pink Line,31 December 2018,Underground,Island,-,
Vishwavidyalaya,Yellow Line,20 December 2004,Underground,Side,-,
Welcome,Red Line,24 December 2002,At-grade,Island,-,
Welcome,Pink Line,31 October 2018,Elevated,Side,-,
Yamuna Bank,Blue Line,10 May 2009,At-grade,Island,-,
Yamuna Bank,Blue Line,6 January 2010,At-grade,Side,-,
Yamuna Vihar,Pink Line,8 March 2026,Elevated,Side,-,
Yashobhoomi Dwarka Sector - 25,Airport Express,17 September 2023,Underground,Island,Formerly known as IICC - Dwarka Sector -25,
